Key,Default Value,Value Type,Description
queue.meta_label_print.rename.delay.before.milliseconds,0,integer,"Used by LabelPrintUtil, to sprcify the delay time in millisecond before rename the label"
queue.meta_label_print.rename.delay.error.milliseconds,50,integer,"Used by LabelPrintUtil, to sprcify the delay time in millisecond after rename-error"
cache.queue_count.expiry_in_seconds,60,integer,"The amount of time (in seconds) that information related to the queue count will be kept in the cache. 
This cache is primarily used in the hub monitor for performance reason.  Using this cache means that the data shown by the monitor may be as old as the expriry_in_seconds.
For example, if the expiry is 60, that means the data being shown in the monitor may be up to 1 minute old."
cache.message_broker_console.expiry_in_seconds,60,integer,"The amount of time (in seconds) that information related to the message broker admin console will be kept in the cache. 
This cache is primarily used in the hub monitor for performance reason.  Using this cache means that the data shown by the monitor may be as old as the expriry_in_seconds.
For example, if the expiry is 60, that means the data being shown in the monitor may be up to 1 minute old."
METADATA ENGINE,,#N/A,#N/A
meta.attachment.max.size,1000,integer,The maximum file size (in megabytes) of files that can be uploaded to an md_attachment table.
meta.domain.clob.data_length.max,100000,integer,"The maximum data length of CLOB allowed. If the data length in domain of CLOB was set 0, then this column's data length must be less than this value."
meta.domain.data_length.max,50000,integer,"The maximum data length allowed. All domains must have a data length value less than this value, and therefore, all values (including CLOB values) are restricted by this size. Increasing the value beyond 10,000 is strongly discouraged as it will increase demand for memory and could ultimately lead to out-of-memory issues."
meta.encode.value.macros,1,boolean,
meta.event.publisher.enabled,0,boolean,
meta.expired_lock_cleanup.interval,5,integer,
meta.generate.xml.request,1,boolean,"When set, the Metadata Engine will enable the Prepare SOAP Request action on the search page."
meta.image.inline.size,32000,integer,
meta.image.inline.type,"bmp,gif,jpg,jpeg,png,svg,svg+xml",string,
meta.linking.auto.search,1,boolean,"When set, the Metadata Engine will automatically perform a search when a user links to a view."
meta.metadata.owner,local,string,
meta.metadata.version,9.6.0,string,
#meta.pdq.priority.dms.inv_shp_l,0,integer,
meta.preview_results.max_rows,12,integer,The number of records displayed when hovering over a preview link. 
meta.results_filter.max_rows,10,integer,"The number of items in a filter. If the number of filter items is greater than this value, the system will show a More + link."
meta.rule.cache.size,100,integer,Same as meta.view.cache.size except this refers to rules being cached.
#meta.search.timeout.dms.ar_hist,0,integer,
meta.table_search.max_rows,50,integer,The number of rows displayed in the table search results.
meta.task.capture.log.system,0,boolean,"For creating boolean property of log system message.
If it's value is 1, system messages will be logged. Otherwise, if it's value is 0, system message won't be logged."
meta.text.render.preview.length,10,integer,The default number of words displayed when showing a preview of a text field. 
meta.view.cache.size,2000,integer,"The number of user views cached in memory. The cache implements an LRU algorithm, ensuring the most infrequently used views are first to be replaced in the cache. This value should allow 90% of user views accessed in a single day to be cached. If too large it will consume memory unnecessarily."
,,,
# Regular expression pattern of criteria expressions to ignore,,,
meta.search.criteria.ignore,^~$|^~[*]$|^~[*][*]$|^[*][*]$,string,
meta.search.timeline.enabled.databases,"ice,ibis,mdm",string,
METADATA VALIDATION,,,#N/A
metadata.validation.output.directory,{temp.directory}/metadata_validation,file path string,
meta.development.enablePrepareDeprecatedWebService,1,boolean,
meta.development.logExtensionWarnings,1,boolean,
META DATABASE CONNECTION,,,#N/A
db.connection.meta.lock_retry.attempts,1000,integer > 0,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.meta.lock_retry.interval,100,milliseconds,The time in milliseconds between locked row retries.
db.connection.meta.connection.expiration_hour,24,hours,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.meta.prepared.statement.queue.size,25,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.meta.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
META ENGINE,,,#N/A
meta.extension.package.meta,com.tecsys.meta.ext,string,The root package for the database extension points.
meta.non_conversation_mode.create.disabled.meta,,boolean,
meta.non_conversation_mode.delete.disabled.meta,,boolean,
meta.non_conversation_mode.update.disabled.meta,,boolean,
meta.rules.enabled.tables,"dms~dms_queue,dms~md_mq_generic,fcst~md_mq_generic,ice,itms,mdm~package,mdm~event_log,sms~tracking_log,tms~manifest,tms~manifest_shipfile,tms~md_mq_generic,tms~shipment,tms~shipment_package,tms~ship_order,tms~ship_order_package,tms~shipment_package_event,wms~md_mq_generic,sms~consignment_billing,sms~location_item_binlabel,sms~tag_reading",string,"Lists the databases and tables for which the Transformation Rules Engine can be used. If a database is defined, the rules engine will be available for all the tables in this database."
META ENVIRONMENT,,,#N/A
 ,,,
META MESSAGING,,,#N/A
msg.queue.disabled.meta,0,boolean,A flag that indicates whether or not queues associated with the meta database are disabled (i.e. excluded from being processed).
METAAUDIT DATABASE CONNECTION,,,#N/A
db.connection.metaaudit.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.metaaudit.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.metaaudit.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.metaaudit.prepared.statement.queue.size,25,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.metaaudit.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
METAAUDIT ENGINE,,,#N/A
meta.extension.package.metaaudit,com.tecsys.metaaudit.ext,string,The root package for the database extension points.
meta.non_conversation_mode.create.disabled.metaaudit,,boolean,
meta.non_conversation_mode.delete.disabled.metaaudit,,boolean,
meta.non_conversation_mode.update.disabled.metaaudit,,boolean,
METAAUDIT MESSAGING,,,#N/A
msg.queue.disabled.metaaudit,0,boolean,A flag that indicates whether or not queues associated with the meta database are disabled (i.e. excluded from being processed).
PORTAL,,,#N/A
portal.general.links.url,,string,
portal.resource.preview.enable,0,boolean,Enables or disables previews on the portal.
REFRESH AGENT,,,#N/A
TProperties.refresh.agent,1,boolean,"When set, the application will periodically get the latest properties where permitted. The following properties are subject to being refreshed:
debug.*
xml.*"
TProperties.refresh.agent.interval,10000,integer,The time in milliseconds to wait between refreshes.
REMOTE DATA,,#VALUE!,#N/A
remote.data.connection.timeout,30000,integer,
remote.data.password.replacement.string,{password},string,
remote.data.connection.enforce_valid_cert,1,boolean,
UMS,,#VALUE!,#N/A
ums.browser.title.format,{resourceName} - {userName} - {environment},string,"The value of this property can contain the following placeholders:
{environment} - environment
{userName} - user
{resourceName} - resource
A browser window used to access the application will have a title equal to this value, where the placeholders are substituted with their interpreted values at runtime."
ums.browser.title.format.login,{resourceName} - {environment},string,"The value of this property can contain the following placeholders:
{environment} - environment
{resourceName} - resource
A browser window used to log in to the application will have a title equal to this value, where the placeholders are substituted with their interpreted values at runtime."
ums.expired_session_cleanup.interval,5,integer,
ums.expired.sessions.log.file.name,{logs.directory}/expiredSessionLog.txt,string,"The path/filename on the hard disk for the expired sessions log file, which may be useful while debugging. This can be a relative path/filename (e.g. expiredSessionLog.txt), in which case the log file would need to be placed in the [Destination Folder]/[Enterprise Application Name].ear folder, or it can be an absolute path/filename (e.g. C:/Tecsys/Elite_8x/eswc/logs/expiredSessionLog.txt). The [Destination Folder] and [Enterprise Application Name] are chosen during the install."
ums.login.confirm.confidential.lit_key,,boolean,"Ensures that users accept company confidentially rules (or other such text) on the Login page. When empty (default), no check box or message is displayed."
ums.maintain.role.permissions.max.resources,800,integer,"The maximum number of resources that can be maintained in the role permissions page (custom action named ""Permissions"" in the Role view). If the role contains more resources than the value specified, an error message will appear preventing the user from maintaining the resources for that role."
ums.resource.cache.size,1000,integer,The number of UMS resources cached in memory. A cached resource will be removed from the cache after it has not been accessed for 20 minutes.
ums.session_app.keepalive.active,1,boolean,
ums.user.email_address.default,{firstName}.{lastName}@{domainName},string,"The template to use for the user's email address when a user is created. 

The following macros are supported within the template:

{userName} - The user’s user name.
{firstName} - The user’s first name.
{firstInitial} - The first letter of the user's first name.
{middleName} - The user’s middle name.
{middleInitial} - The first letter of the user's middle name.
{lastName} - The user’s last name.
{lastInitial} - The first letter of the user's last name.
{honor} - The user’s honor (i.e. Mr., Mrs., Miss, etc.).
{domainName} - The general domain name used for the server.

Any other text in the template is left as is.

If the property is not defined, the following template will be used:

{firstName}.{lastName}@{domainName}

If values used in the template are changed before saving the user record, the email address is updated, unless the email address is manually overridden.

Once the user record is saved, the person maintaining a user record must manually change the email address."
UMS AUTHENTICATION LDAP,,#VALUE!,#N/A
ldap.connection.default.current,aws,string,
ldap.connection.default.aws.initial.context.factory,com.sun.jndi.ldap.LdapCtxFactory,string,
ldap.connection.default.aws.provider.url,ldap://{ldap.server.name}:{ldap.server.port},string,
ldap.connection.default.aws.base.dn,{ldap.server.base.dn},string,
ldap.connection.default.aws.type,1,boolean,
ldap.connection.aws.allow_update,1,boolean,
ldap.connection.default.aws.authentication,simple,string,
ldap.connection.default.aws.username.prefix,,string,
ldap.connection.default.aws.username,{ldap.server.username},string,
ldap.connection.default.aws.username.suffix,,string,
ldap.connection.default.aws.password.encrypted,{ldap.server.password.encrypted},string,
ldap.connection.default.aws.search.named_context,,string,
ldap.connection.default.aws.search.lookup_attribute,cn,string,
ldap.connection.default.aws.search.filter_object_class,user,string,
,,,
ldap.connection.ums.current,eliteseries,string,The set (or instance) of LDAP connectivity information to use.
ldap.connection.ums.eliteseries.initial.context.factory,com.sun.jndi.ldap.LdapCtxFactory,string,A Java class used to help load other Java classes pertinent to communication with the LDAP server.
ldap.connection.ums.eliteseries.provider.url,{ldap.provider.url},string,The URL to the LDAP server.
ldap.connection.ums.eliteseries.base.dn,{ldap.base.dn},string,"If your Directory Information Tree contains a base DN, then you specify its value here. It is usually recommended to use your Inet domain for this purpose (i.e. dc=tecsys, dc=com). This property value, if specified, is prefixed with the slash (/) and then concatenated to the provider URL."
ldap.connection.ums.eliteseries.type,{ldap.type},integer,"The LDAP server type. Currently, the only values that are supported are: 0=Generic, 1=Microsoft Active Directory"
ldap.connection.ums.eliteseries.allow_update,{ldap.allow_update},integer,Defines whether or not iTopia can write to it.
ldap.connection.ums.eliteseries.authentication,{ldap.authentication},string,The authentication method of the connection.
ldap.connection.ums.eliteseries.search.filter_object_class,{ldap.search.filter_object_class},string,"The meta_ldap_user resource. The user's object class to use when performing a search operation (i.e. user for Active Directory, person for Sun Java System)."
ldap.connection.ums.eliteseries.search.lookup_attribute,{ldap.search.lookup_attribute},string,The attribute used for looking up the user. Some directory servers such as Active Directory may use CN instead of UID.
ldap.connection.ums.eliteseries.search.named_context,{ldap.search.named_context},string,"The meta_ldap_user resource. The named context to use when performing a search operation (i.e. ou=Tecsys Regular Users, ou=Tecsys Users)."
ldap.connection.ums.eliteseries.username.prefix,{ldap.username.prefix},string,"The custom.username.prefix is used on LDAP Servers such as Active Directory that require that the username be prefixed by a domain when establishing a connection. For example, if you wish to connect to an Active Directory server as user peterp where the domain is TECSYS, then you need to specify TECSYS\peterp as the username when connecting. But the UMS login page will prompt for the actual username only (without the domain). The login function then uses this property value as a prefix to the actual username in order to establish an LDAP connection. Bear in mind that the \ character is the Java escape. For this reason, the character needs to be escaped. As a result, a prefix of TECSYS\ would have to be specified as TECSYS\\ with 2 slashes."
ldap.connection.ums.eliteseries.username,{ldap.username},string,Populated by the deployer script. The username used to connect to the LDAP server.
ldap.connection.ums.eliteseries.username.suffix,{ldap.username.suffix},string,"The custom.username.suffix is used on LDAP Servers such as Active Directory that require that the username be suffixed by some text, when establishing a connection. Bear in mind that the \ character is the Java escape. For this reason, the character needs to be escaped. As a result, a suffix of abc\123 would have to be specified as abc\\123 with 2 slashes."
ldap.connection.ums.eliteseries.password.encrypted,{ldap.password.encrypted},string,Populated by the deployer script. The encrypted password used to connect to the LDAP server.
UMS ENVIRONMENT,,#VALUE!,#N/A
environment.url.general.accepted_domains,{accepted.domains},string,"The list of domains, separated by commas, that can be used when redirecting to other URLs. If left blank, all domains can be redirected."
environment.url.general.base_url,{app.server.protocol}://{general.host}/{environment.name},string,
environment.url.general.base_url_secured,https://{general.host}/{environment.name},string,
environment.url.general.canonical_host,{virtual.host.name},string,"The canonical host name (machine name qualified with the domain) where the environment is installed. Will be set to the {LocalCanonicalHostName} placeholder value when the actual machine name is used, or the virtual host name when a virtual hosting strategy is used."
environment.url.general.domain_name,{domain.name},string,
environment.url.general.environment,{environment.name},string,
environment.url.general.external_host,{general.canonical_host}{app.server.port},string,
environment.url.general.help_url,{app.server.protocol}://{general.host}/{help.environment},string,
environment.url.general.home_url,{portal.home_url},string,
environment.url.general.host,{general.canonical_host}{app.server.port},string,The host name (canonical host qualified with the port) where the environment is installed.
environment.url.general.local_canonical_host,{app.server.name},string,"The local canonical host name (machine name qualified with the domain) where the environment is installed. This entry should match the environment.url.general.canonical_host when the node is not deployed in a clustered environment. If the node is deployed in a clustered environment, it should be set to the {LocalCanonicalHostName} placeholder value."
environment.url.general.login_url,{ums.base_url}/authenticator,string,
environment.url.general.logout_mobile_redirect_url,{ums.base_url}/authenticator,string,The URL to redirect to after a mobile user logs out.
environment.url.general.logout_redirect_url,{ums.base_url}/authenticator,string,The URL to redirect to after a desktop user logs out.
environment.url.general.logout_url,{ums.base_url}/authenticator?actionCode=logout,string,
environment.url.general.port,{app.server.port},string,
environment.url.general.protocol,{app.server.protocol},string,
environment.url.general.report_issue_url,{meta.base_url}/reportIssue,string,
,,,
environment.url.tecsyshelp.war.name,TecsysHelp.war,string,
environment.url.tecsysweb.war.name,TecsysWeb.war,string,
,,,
environment.url.help.about_url,{help.general.engine_url}?actionCode=about,string,
environment.url.help.contents_url,{help.engine_url},string,
environment.url.help.copyright_notice_url,{help.engine_url}?path=meta/base/meta_copyrights.html,string,
environment.url.help.engine_url,{general.help_url}/help/engine,string,
environment.url.help.environment,{general.environment}_help,string,The name of the Help environment.
environment.url.help.general.engine_url,{general.base_url}/help/engine,string,
environment.url.help.meta_topic_url,{help.engine_url},string,
environment.url.help.search_tips_url,,string,
environment.url.help.system_compatibility_learn_more_ie_url,{help.engine_url}?path=meta/basics/meta_compatibility_requirements_for_internet_explorer.html,string,The compatibility requirements for IE when running Help - System Check List - Learn More in IE.
environment.url.help.system_compatibility_learn_more_chrome_url,{help.engine_url}?path=meta/basics/meta_compatibility_requirements_for_chrome.html,string,The compatibility requirements for Chrome when running Help - System Check List - Learn More in Chrome.
environment.url.help.system_compatibility_url,{help.general.engine_url}?actionCode=systemCompatibility,string,
,,,
environment.url.iguana.base_url,{iguana.base_url},string,
,,,
environment.url.meta.base_url,{general.base_url}/meta,string,
environment.url.meta.engine_url,{meta.base_url}/engine,string,
environment.url.meta.manager_url,{meta.base_url}/manager,string,
environment.url.meta.web_service_url,{app.server.protocol}://{general.local_canonical_host}{app.server.port}/{general.environment}/ws/MetaWebService?wsdl,string,
,,,
environment.url.msg.base_url,{general.base_url}/msg,string,
environment.url.msg.engine_url,{msg.base_url}/engine,string,
environment.url.msg.web_service_url,{app.server.protocol}://{general.local_canonical_host}{app.server.port}/{general.environment}/ws/MsgWebService?wsdl,string,
,,,
environment.url.portal.base_url,{general.base_url}/portal,string,
environment.url.portal.base_url_secured,{general.base_url_secured}/portal,string,
environment.url.portal.home_url,{portal.base_url}/home,string,
,,,
environment.url.resource.base_url,{general.base_url},string,
environment.url.resource.operation_url,{resource.system.base_url}/meta/_domain/operation_name,string,
environment.url.resource.system.base_url,{resource.base_url}/system_resource,string,
environment.url.resource.user.base_url,{resource.base_url}/user_resource,string,
,,,
environment.url.session_parameters_page_url,{wf.base_url}/engine?resourceName=meta_session_parameters.wf,string,The URL to the session parameters page that is displayed after the login (the parameters are retrieved from the session extensions).
environment.url.ums.base_url,{general.base_url}/ums,string,
environment.url.ums.base_url_secured,{general.base_url_secured}/ums,string,
environment.url.ums.engine_url,{ums.base_url}/engine,string,
environment.url.view.default.search.results.show_totals,0,boolean,"If this value is set to 1 as the view option default value, views will show the total number. 0 will not show the total number."
,,,
environment.url.wf.base_url,{general.base_url}/wf,string,
environment.url.wf.engine_url,{wf.base_url}/engine,string,
BI DATABASE CONNECTION,,#VALUE!,#N/A
db.connection.bi.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.bi.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.bi.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.bi.prepared.statement.queue.size,50,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.bi.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
BI ENVIRONMENT,,#VALUE!,#N/A
bi.service.url,{bi.service.url},string,The BI Service URL.
bi.service.namespace,{bi.service.namespace},string,The BI Service namespace.
bi.service.username,{bi.service.username},string,The BI Service username.
bi.service.password.encrypted,{bi.service.password.encrypted},string,The BI Service encrypted password.
bi.service.logon-policy,1,boolean,The BI service logon police. 1 means log on on the server side.
environment.url.bi.engine_url,{general.base_url}/bi/engine,string,
BMS DATABASE CONNECTION,,#VALUE!,#N/A
db.connection.bms.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.bms.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.bms.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.bms.prepared.statement.queue.size,25,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.bms.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
BMS ENGINE,,,
meta.extension.package.bms,com.tecsys.bms.ext,string,The root package for the database extension points.
meta.non_conversation_mode.create.disabled.bms,,boolean,
meta.non_conversation_mode.delete.disabled.bms,,boolean,
meta.non_conversation_mode.update.disabled.bms,,boolean,
BMS ENVIRONMENT,,,
 ,,,
BMS INTERFACE,,,
,,,
BMS MESSAGING,,,
msg.queue.disabled.bms,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
BMS XML,,,
,,,
BMSAUDIT DATABASE CONNECTION,,,
db.connection.bmsaudit.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.bmsaudit.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.bmsaudit.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.bmsaudit.prepared.statement.queue.size,25,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.bmsaudit.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
BMSAUDIT ENGINE,,,
meta.extension.package.bmsaudit,com.tecsys.bmsaudit.ext,string,
meta.non_conversation_mode.create.disabled.bmsaudit,,boolean,
meta.non_conversation_mode.delete.disabled.bmsaudit,,boolean,
meta.non_conversation_mode.update.disabled.bmsaudit,,boolean,
BMSAUDIT MESSAGING,,,
msg.queue.disabled.bmsaudit,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
DMS DATABASE CONNECTION,,,
db.connection.dms.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.dms.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.dms.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.dms.prepared.statement.queue.size,75,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.dms.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
DMS ENGINE,,,
meta.extension.package.dms,com.tecsys.dms.ext,string,
meta.non_conversation_mode.create.disabled.dms,,boolean,
meta.non_conversation_mode.delete.disabled.dms,,boolean,
meta.non_conversation_mode.update.disabled.dms,,boolean,
DMS ENVIRONMENT,,,
dms.domain.cc_expiry_date.date.display_format,{month2}/{year4},string,
DMS MESSAGING,,,
msg.queue.disabled.dms,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
environment.url.dms.adp.interface.url,http://{dms.adp.interface.host}/twe/services/,string,The URL to use when making SOAP calls to the ADP Taxware Enterprise software.
dms.adp.interface.username,{dms.adp.interface.username},string,The user name to use to access the ADP Taxware Enterprise software.
dms.adp.interface.password.encrypted,{dms.adp.interface.password.encrypted},string,The encrypted password that is used to access the ADP Taxware Enterprise software.
dms.adp.interface.connect.timeout,60000,integer,"The number of milliseconds to wait for a connection to the ADP Taxware Enterprise software to be established. If a connection is not established within this period of time, the system will issue an error message. Set this property to 0 to make the system wait forever for a connection to be established."
dms.adp.interface.georequest,TaxUtilityManagerService,string,The web service to use to make a Geo code request to the ADP Taxware Enterprise software.
dms.adp.interface.read.timeout,120000,integer,"The number of milliseconds to wait to receive a response from the ADP Taxware Enterprise software after a connection has been established. If a response is not received within this period of time, the system will issue an error message. Set this property to 0 to make the system wait forever to receive a response."
dms.adp.interface.taxrequest,TaxCalculationManagerService,string,The web service to use to make a Tax request to the ADP Taxware Enterprise software.
DMS TRACKABOUT INTERFACE,,,
environment.url.trackabout.base.url,https://{dms.trackabout.portal}.trackabout.com,string,The Base URL to use to access the TrackAbout system.
environment.url.trackabout.customer.url,{dms.trackabout.base.url}/customer,string,The URL to use when performing customer-based queries into TrackAbout (i.e. Asset Balance and Asset List).
environment.url.trackabout.rentalinvoice.url,{dms.trackabout.base.url}/rentalinvoice,string,The URL to use when performing rental invoice queries into TrackAbout.
dms.trackabout.interface.inbound_url.rental_invoices,https://{dms.trackabout.portal}.trackabout.com/ws/EliteSeries/RentalInvoices.asmx?v3&gz,string,"The URL to use when downloading rental invoice information from the TrackAbout system. Normally, the value should not be changed."
dms.trackabout.interface.inbound_url.asset_balances,https://{dms.trackabout.portal}.trackabout.com/ws/EliteSeries/AssetBalances.asmx?v3.1&gz,string,"The URL to use when downloading rental invoice information from the TrackAbout system. Normally, the value should not be changed."
dms.trackabout.interface.inbound_argument,argument1=abc,string,"An argument required by the TrackAbout system in order to transfer. Normally, the value should not be changed."
dms.trackabout.interface.outbound_url,https://{dms.trackabout.portal}.trackabout.com/ws/EliteSeries.asmx,string,"The URL to use when uploading data from the TrackAbout system. Normally, the value should not be changed."
dms.trackabout.interface.username,{dms.trackabout.interface.username},string,The user name that is used to log in to the TrackAbout system when data is transferred between the TrackAbout and EliteSeries systems.
dms.trackabout.interface.password.encrypted,{dms.trackabout.interface.password.encrypted},string,The encrypted password that is used to log in to the TrackAbout system when data is transferred between the TrackAbout and EliteSeries systems.
dms.trackabout.interface.enforce_valid_cert,0,boolean,"When set, a valid digital certificate must be added to the Tecsys keystore file (as defined in the general.ssl.trust.store property) in order to transfer data between the EliteSeries and TrackAbout systems."
DMS FCST INTERFACE,,,
dms.fcst.interface.classname,com.tecsys.dms.api.fcst.DmsFcstInterfaceImpl,string,
dms.fcst.interface.external_system_name,DMS-FCST,string,
DMS RMS INTERFACE,,,
dms.rms.interface.classname,com.tecsys.dms.api.rms.DmsRmsInterfaceImpl,string,Required to initiate the DmsRmsInterface in order to pass data from DMS to RMS.
dms.rms.interface.external_system_name,DMS-RMS,string,Required to check country code and state/province code in md_extsys_country and md_extsys_state_prov tables.
DMS WMS INTERFACE,,,
dms.wms.interface.classname,com.tecsys.dms.api.wms.DmsWmsInterfaceImpl,string,
DMS EXTERNAL SYSTEM INTEGRATIONS,,,
DMS STAGING UTILITY,,,
DMSAUDIT DATABASE CONNECTION,,,
db.connection.dmsaudit.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.dmsaudit.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.dmsaudit.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.dmsaudit.prepared.statement.queue.size,25,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.dmsaudit.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
DMSAUDIT ENGINE,,,
meta.extension.package.dmsaudit,com.tecsys.dmsaudit.ext,,
meta.non_conversation_mode.create.disabled.dmsaudit,,,
meta.non_conversation_mode.delete.disabled.dmsaudit,,,
meta.non_conversation_mode.update.disabled.dmsaudit,,,
DMSAUDIT MESSAGING,,,
msg.queue.disabled.dmsaudit,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
FCST DATABASE CONNECTION,,,
db.connection.fcst.lock_retry.attempts,200,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.fcst.lock_retry.interval,250,integer,The time in milliseconds between locked row retries.
db.connection.fcst.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.fcst.prepared.statement.queue.size,50,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.fcst.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
FCST ENGINE,,,
meta.extension.package.fcst,com.tecsys.fcst.ext,,
meta.non_conversation_mode.create.disabled.fcst,,,
meta.non_conversation_mode.delete.disabled.fcst,,,
meta.non_conversation_mode.update.disabled.fcst,,,
FCST ENVIRONMENT,,,
fcst.signal.schedulers,1,,
fcst.task.wait.interval,250,,
fcst.task.wait.max.time,2000,,
fcst.task.wait.auto.refresh,2,,
FCST MESSAGING,,,
msg.queue.disabled.fcst,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
FCST XML,,,
 ,,,
FCSTAUDIT DATABASE CONNECTION,,,
db.connection.fcstaudit.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.fcstaudit.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.fcstaudit.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.fcstaudit.prepared.statement.queue.size,25,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.fcstaudit.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
FCSTAUDIT ENGINE,,,
meta.extension.package.fcstaudit,com.tecsys.fcstaudit.ext,,
meta.non_conversation_mode.create.disabled.fcstaudit,,,
meta.non_conversation_mode.delete.disabled.fcstaudit,,,
meta.non_conversation_mode.update.disabled.fcstaudit,,,
FCSTAUDIT MESSAGING,,,
msg.queue.disabled.fcstaudit,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
GLOBAL DATABASE CONNECTION,,,
db.connection.global.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
